#,Data,Categoria,Descrição,Status,Prioridade,Responsável,Prazo,Observação
726,28/04/26,Indicador,Aguardando retorno de fornecedor sobre material,Concluído,alta,Sabrina T.,,risco de multa se não fechar
727,24-04-2026,SEG. TRABALHO,Aguardando retorno de fornecedor sobre planilha,WIP,,,25/06,
728,2026-07-17,qual.,Fechamento de treinamento do mês anterior,Novo,crítica,Ana Silva,02/07/2026,cliente reclamou disso semana passada
729,18/06/2026,RH,Investigação de desvio em comunicado,Novo,urgente,Karen L.,26-06-2026,não faz sentido no contexto atual
730,15/06/26,qual.,Preparar apresentação sobre plano de ação,Em andamento,Média,Isabel R.,,revisar após mudança de escala
731,2026-05-18,,Padronizar registro de manutenção,concluido,A,Felipe Costa,03-07-2026,risco de multa se não fechar
732,08/07/2026,Prod,Preparar apresentação sobre manutenção,Encerrado,B,Paula V.,,envolve 2 áreas — precisa alinhar
733,13-07-2026,MTN,Reagendar reunião de follow-up,Aberto,crítica,Vanessa L.,,conversamos na daily de segunda
734,19/05/26,produtividade,Follow-up com engenharia sobre relatório,Encerrado,,Tiago Alves,,
735,2026-06-29,Indicador,Análise da NC #654,Fechado,A,Isabel R.,11-07-2026,
736,15/07/2026,Corretiva,Treinamento de produção pra equipe,OK,M,Diego Lima,2026-08-22,urgente segundo o gerente
737,05/05/26,RH,Documentar procedimento de planilha,progresso,B,Nubia Costa,25/06,risco de multa se não fechar
738,2026-06-28,MTC,Renovar contrato de suporte técnico,Em andamento,Baixa,Nubia Costa,,3 vezes que aparece esse mesmo problema
739,,,,,,,,
740,24/04/26,,Reposição de estoque de lista,Feito,,?,24/08/2026,envolve 2 áreas — precisa alinhar
741,27/04/2026,Prod,Consolidar dados de planilha,aberta,ALTA,time,,"só depende de mim, sem justificativa"
742,26-04-2026,qual.,Renovar contrato de certificado,Fechado,A,Vanessa L.,15/09/2026,envolve 2 áreas — precisa alinhar
743,05/06/2026,Prod,Definir responsável pela plano de ação,andamento,Baixa,?,2026-07-20,risco de multa se não fechar
744,2026-05-25,Qualidade,Consolidar dados de relatório,Concluído,B,Carla Souza,03/09,3 vezes que aparece esse mesmo problema
745,26/04/26,Seg,Ajuste no cronograma semanal,Concluído,M,Ana Silva,,movi pra próxima semana
746,2026-05-06,Produção,Comunicar mudança de follow-up pro time,Concluído,urgente,Sabrina T.,29/06/2026,envolve 2 áreas — precisa alinhar
747,2026-05-28,gente,Investigação de desvio em plano de ação,Em andamento,A,,05/08,duplicado com outra linha?
748,24/06/26,Saúde e Seguranca,Documentar procedimento de plano de ação,Done,alta,Diego Lima,,risco de multa se não fechar
749,11-06-2026,QLD,Consolidar dados de apresentação,Feito,B,Karen L.,01/09,aparentemente resolvido mas não tem evidência
750,2026-04-30,Seg,Melhoria no fluxo de documento,Em andamento,Alta,Gabi Ferreira,2026-08-06,duplicado com outra linha?
751,30/06/26,Time,Aguardando retorno de fornecedor sobre ferramenta,Novo,A,Ricardo N.,2026-08-03,urgente segundo o gerente
752,17-05-2026,RH/Gestão,Precisa validação técnica de planilha,Done,urgente,Osmar D.,19-07-2026,duplicado com outra linha?
753,15/07/2026,EPI,Padronizar registro de treinamento,OK,M,a definir,31/07,risco de multa se não fechar
754,17-06-2026,SOP,Reposição de estoque de material,Aberto,ALTA,time,,esperando ok da diretoria
755,08-07-2026,Instrução Trabalho,Trocar certificado vencido na área,aberta,B,Bruno Alves,,duplicado com outra linha?
756,11/05/26,PM,Treinamento de checklist pra equipe,OK,crítica,Tiago Alves,29/07/2026,risco de multa se não fechar
757,2026-07-16,Qualidade,Pendente aprovação da diretoria sobre comunicado,progresso,ALTA,Henrique M.,08/08/2026,TI ainda não liberou
758,23/04/26,Procedimento,Análise da NC #371,Done,,Eduarda Santos,07/08/2026,"só depende de mim, sem justificativa"
759,10/06/26,Pessoas,Investigação de desvio em relatório,A fazer,Alta,Bruno Alves,2026-06-25,
760,22/05/26,Processo,Fechamento de produção do mês anterior,andamento,,Gabi Ferreira,08/07/2026,não faz sentido no contexto atual
761,16/05/26,MTC,Treinamento de reunião pra equipe,Concluído,ALTA,Henrique M.,09/09,esperando resposta do RH
762,06/05/2026,Produtividade,Follow-up com diretoria sobre segurança,concluido,Baixa,,15-09-2026,movi pra próxima semana
763,,,,,,,,
764,04/07/26,PROD,Fechamento de meta do mês anterior,andamento,,Leo Batista,25-06-2026,cliente reclamou disso semana passada
765,2026-05-15,Processo,Revisar procedimento de follow-up conforme reunião,Em andamento,urgente,Felipe Costa,15-08-2026,impacto direto no OEE do turno
766,2026-06-24,Seguranca,Padronizar registro de follow-up,Novo,M,time,,aparentemente resolvido mas não tem evidência
767,2026-07-09,Seg,Alinhamento com liderança sobre reunião,Novo,,Paula V.,2026-08-24,
768,27-05-2026,RH/Gestão,Treinamento de processo pra equipe,Done,crítica,time,21/06,"só depende de mim, sem justificativa"
769,11/06/2026,Seguranca,Ver com coordenador status de checklist,concluido,Baixa,,2026-08-10,
770,2026-04-20,Controle Qualidade,Renovar contrato de contrato,TODO,Média,Felipe Costa,,esperando resposta do RH
771,2026-07-05,Preventiva,Padronizar registro de manutenção,Concluído,urgente,Ricardo N.,,não faz sentido no contexto atual
772,2026-06-26,manut.,Consolidar dados de inspeção,andamento,ALTA,Gabi Ferreira,,envolve 2 áreas — precisa alinhar
773,2026-05-18,Indicador,Trocar suporte técnico vencido na área,Encerrado,Alta,Carla Souza,30-06-2026,impacto direto no OEE do turno
774,16/05/26,RH/Gestão,Alinhamento com liderança sobre apresentação,A fazer,crítica,,,
775,13/05/26,seg.,Trocar planilha vencido na área,WIP,A,Paula V.,,vinculado à pendência anterior
776,18-05-2026,QLD,Preparar apresentação sobre follow-up,progresso,M,Carla Souza,,"só depende de mim, sem justificativa"
777,2026-06-23,Metas,Alinhamento com liderança sobre qualidade,andamento,crítica,Nubia Costa,15/07/2026,envolve 2 áreas — precisa alinhar
778,07-07-2026,manut.,Pendente aprovação da diretoria sobre treinamento,A fazer,A,time,03-07-2026,TI ainda não liberou
779,24-06-2026,produtividade,Ver com coordenador status de auditoria,OK,Alta,Ricardo N.,05/07/2026,3 vezes que aparece esse mesmo problema
780,15-06-2026,Indicador,Ficou de trazer briefing na próxima reunião,WIP,Alta,Ana Silva,2026-06-29,conversamos na daily de segunda
781,05/05/26,Produção,Fechamento de comunicado do mês anterior,Aberto,Baixa,?,,
782,30/05/2026,Time,Escalar problema de relatório pro gerente,Encerrado,Alta,Ana Silva,18/08/2026,vinculado à pendência anterior
783,2026-07-17,Prod,Padronizar registro de relatório,Fechado,Média,Henrique M.,11-09-2026,revisar após mudança de escala
784,20/06/2026,SST,Fechamento de produção do mês anterior,Encerrado,A,Paula V.,02-07-2026,
785,05/07/2026,Gestão de pessoas,Comunicar mudança de follow-up pro time,Feito,B,Paula V.,,revisar após mudança de escala
786,24/06/2026,Gestão de pessoas,Documentar procedimento de checklist,Novo,crítica,Tiago Alves,11/07,risco de multa se não fechar
787,19/06/2026,KPI,Definir responsável pela segurança,OK,M,Paula V.,12-08-2026,pode ser reunião de 15min
788,,,,,,,,
789,15-07-2026,QA,Reposição de estoque de contrato,progresso,Baixa,a definir,08/08/2026,
790,2026-06-15,Pessoas,Documentar procedimento de plano de ação,Concluído,ALTA,Bruno Alves,2026-08-11,urgente segundo o gerente
791,2026-04-23,KPI,Análise da NC #370,Feito,urgente,Leo Batista,,esperando resposta do RH
792,24/04/26,,Renovar contrato de lista,TODO,Baixa,?,01-09-2026,pode ser reunião de 15min
793,08-07-2026,RH/Gestão,Investigação de desvio em follow-up,TODO,ALTA,Sabrina T.,27-07-2026,duplicado com outra linha?
794,04/07/2026,Instrução Trabalho,Pendente aprovação da diretoria sobre processo,Done,urgente,Marcos T.,,conversamos na daily de segunda
795,22-04-2026,Procedimento,Definir responsável pela treinamento,aberta,B,Tiago Alves,23-06-2026,conversamos na daily de segunda
796,2026-06-04,QA,Melhoria no fluxo de processo,Feito,A,Marcos T.,14/07,conversamos na daily de segunda
797,2026-06-09,Gestão de pessoas,Reagendar reunião de meta,progresso,,Marcos T.,2026-08-04,auditoria externa pergunta sobre isso
798,03/05/2026,Pessoas,Ver com engenharia status de segurança,Fechado,,,01/07/2026,
799,09/07/2026,Prod,Auditoria interna de segurança,concluido,M,Felipe Costa,2026-08-25,3 vezes que aparece esse mesmo problema
800,31-05-2026,Equipe,Precisa validação técnica de equipamento,Done,,time,23/08/2026,
801,21/05/26,OEE,Pendente aprovação da diretoria sobre briefing,Done,B,Leo Batista,,3 vezes que aparece esse mesmo problema
802,20/05/26,SEG. TRABALHO,Escalar problema de meta pro gerente,Done,Alta,Isabel R.,28/07,"só depende de mim, sem justificativa"
803,23/05/26,Indicador,Ver com RH status de produção,Encerrado,alta,Karen L.,2026-09-15,conversamos na daily de segunda
804,27-04-2026,PROD,Trocar lista vencido na área,WIP,ALTA,Paula V.,,esperando ok da diretoria
805,2026-05-26,Processo,Documentar procedimento de produção,Aberto,ALTA,,,aparentemente resolvido mas não tem evidência
806,04/07/26,Qualidade,Ficou de trazer documento na próxima reunião,concluido,ALTA,a definir,,
807,21-06-2026,Metas,Documentar procedimento de processo,Concluído,urgente,time,03/07/2026,movi pra próxima semana
808,07/07/26,Pessoas,Atualizar checklist de planilha,OK,urgente,Carla Souza,24/07/2026,envolve 2 áreas — precisa alinhar
809,2026-07-06,seg.,Consolidar dados de documento,Done,M,todos,29/08,auditoria externa pergunta sobre isso
810,,,,,,,,
811,08-07-2026,Procedimento,Preparar apresentação sobre auditoria,progresso,ALTA,Vanessa L.,2026-08-06,impacto direto no OEE do turno
812,14-06-2026,Manutenção,Pendente aprovação da diretoria sobre relatório,Feito,,time,02/08,impacto direto no OEE do turno
813,20/06/2026,PM,Documentar procedimento de inspeção,concluido,,Gabi Ferreira,30/07,conversamos na daily de segunda
814,2026-06-13,Instrução Trabalho,,concluido,,Paula V.,,duplicado com outra linha?
815,2026-07-08,IT,Renovar contrato de material,Em andamento,Média,Diego Lima,02-08-2026,movi pra próxima semana
816,21/04/26,Pessoas,Documentar procedimento de manutenção,Done,urgente,Marcos T.,,
817,15/05/26,Qualidade,Follow-up com coordenador sobre qualidade,Em andamento,Baixa,Vanessa L.,,esperando ok da diretoria
818,18/05/26,Gestão de pessoas,Ficou de trazer reunião na próxima reunião,Fechado,Média,Leo Batista,08-09-2026,envolve 2 áreas — precisa alinhar
819,2026-06-18,Gestão de pessoas,Follow-up com RH sobre checklist,Encerrado,Alta,todos,05-09-2026,pode ser reunião de 15min
820,02/06/2026,Manutenção,Treinamento de apresentação pra equipe,Em andamento,M,Bruno Alves,,revisar após mudança de escala
821,07-07-2026,KPI,,andamento,M,Paula V.,04/07,envolve 2 áreas — precisa alinhar
822,2026-05-21,Instrução Trabalho,Ficou de trazer inspeção na próxima reunião,Concluído,Média,,2026-07-05,cliente reclamou disso semana passada
823,16/06/26,IT,Definir responsável pela qualidade,progresso,Média,Diego Lima,02/08/2026,
824,2026-05-09,proc.,Ajuste no cronograma semanal,Em andamento,B,Ricardo N.,20/08/2026,esperando resposta do RH
825,17/06/2026,Procedimento,Melhoria no fluxo de documento,Done,B,time,2026-07-08,
826,18/05/26,Qualidade,Reunião com fornecedor de ferramenta,WIP,M,Eduarda Santos,02/07/2026,
827,2026-07-09,Segurança,Padronizar registro de briefing,TODO,ALTA,Sabrina T.,24/07,3 vezes que aparece esse mesmo problema
828,03-07-2026,MTC,Padronizar registro de plano de ação,Concluído,alta,Henrique M.,2026-09-05,
829,2026-06-29,proc.,Consolidar dados de produção,WIP,Média,João P.,04-09-2026,impacto direto no OEE do turno
830,2026-07-16,CQ,Follow-up com coordenador sobre segurança,progresso,Alta,Osmar D.,10-09-2026,urgente segundo o gerente
831,20-04-2026,,Pendente aprovação da diretoria sobre briefing,Concluído,alta,Eduarda Santos,25/06,urgente segundo o gerente
832,30/06/26,KPI,Escalar problema de reunião pro gerente,concluido,M,Ricardo N.,2026-07-19,aparentemente resolvido mas não tem evidência
833,19/05/2026,Equipe,Análise da NC #169,Em andamento,,,21/08/2026,movi pra próxima semana
834,23/05/2026,Target,Pendente aprovação da diretoria sobre treinamento,Feito,,?,01-09-2026,urgente segundo o gerente
835,10/07/2026,proc.,Consolidar dados de planilha,concluido,Média,Tiago Alves,10-07-2026,movi pra próxima semana
836,04-05-2026,Qualidade,Treinamento de relatório pra equipe,TODO,crítica,Leo Batista,,
837,18/06/2026,Corretiva,Verificar histórico de produção,WIP,M,,07/09/2026,
838,22-04-2026,Time,Renovar contrato de ferramenta,Concluído,Baixa,Osmar D.,10/09,pode ser reunião de 15min
839,02/07/26,KPI,Documentar procedimento de comunicado,TODO,A,Tiago Alves,02/08/2026,esperando ok da diretoria
840,2026-05-01,Segurança,Feedback pra equipe sobre follow-up,Em andamento,,Paula V.,19-08-2026,pode ser reunião de 15min
841,01/05/2026,Produtividade,Documentar procedimento de auditoria,TODO,M,Marcos T.,2026-09-04,esperando ok da diretoria
842,25-05-2026,produtividade,Trocar equipamento vencido na área,Done,urgente,Karen L.,,movi pra próxima semana
843,04-05-2026,SOP,Ver com gerente status de manutenção,Fechado,M,Isabel R.,12/09,esperando ok da diretoria
844,09/06/2026,QA,Reunião com fornecedor de lista,Feito,ALTA,Leo Batista,03/08/2026,risco de multa se não fechar
845,12/07/26,Qualidade,Precisa validação técnica de equipamento,OK,alta,Carla Souza,12/07,risco de multa se não fechar
846,2026-06-29,Qualidade,Pendente aprovação da diretoria sobre produção,progresso,alta,Diego Lima,13/09/2026,cliente reclamou disso semana passada
847,25/06/26,,Treinamento de apresentação pra equipe,Concluído,alta,Marcos T.,24/07,não faz sentido no contexto atual
848,29/04/26,KPI,Documentar procedimento de auditoria,aberta,Média,Leo Batista,2026-09-01,cliente reclamou disso semana passada
849,20/04/26,KPI,Aguardando retorno de fornecedor sobre licença,Feito,,,05/08,não faz sentido no contexto atual
850,10/06/26,CQ,Verificar histórico de meta,Feito,Média,Ana Silva,09/09,urgente segundo o gerente
851,02/07/26,Procedimento,Treinamento de planilha pra equipe,aberta,Média,Bruno Alves,03/09,risco de multa se não fechar
852,,,,,,,,
853,17/06/26,Preventiva,Análise da NC #382,progresso,alta,Eduarda Santos,27-06-2026,auditoria externa pergunta sobre isso
854,16/07/2026,Metas,Reagendar reunião de briefing,Feito,,Isabel R.,10/09/2026,envolve 2 áreas — precisa alinhar
855,09/07/2026,Pessoas,Revisar procedimento de qualidade conforme reunião,Concluído,alta,,2026-07-01,revisar após mudança de escala
856,10-07-2026,SST,Ver com gerente status de auditoria,Feito,B,Ricardo N.,13/08/2026,cliente reclamou disso semana passada
857,2026-06-20,Pessoas,Aguardando retorno de fornecedor sobre material,Concluído,ALTA,time,06/07,3 vezes que aparece esse mesmo problema
858,05/05/2026,Seg,Padronizar registro de auditoria,progresso,crítica,Leo Batista,21/08/2026,urgente segundo o gerente
859,2026-06-10,SST,Aguardando retorno de fornecedor sobre certificado,Encerrado,M,Tiago Alves,31/08,esperando resposta do RH
860,19-06-2026,Saúde e Seguranca,Revisar procedimento de meta conforme reunião,andamento,Baixa,Nubia Costa,24-08-2026,envolve 2 áreas — precisa alinhar
861,10/05/26,Preventiva,Investigação de desvio em planilha,TODO,Alta,Bruno Alves,2026-08-20,esperando resposta do RH
862,14/07/26,Saúde e Seguranca,Alinhamento com liderança sobre segurança,Em andamento,M,Leo Batista,02/09/2026,esperando resposta do RH
863,02-07-2026,Processo,Follow-up com gerente sobre follow-up,TODO,urgente,Eduarda Santos,,esperando ok da diretoria
864,23-04-2026,Pessoas,Consolidar dados de processo,OK,,Paula V.,04/07,não faz sentido no contexto atual
865,22/06/26,meta,Alinhamento com liderança sobre checklist,Em andamento,Baixa,Bruno Alves,06/09,pode ser reunião de 15min
866,2026-04-21,MTC,Definir responsável pela meta,andamento,Alta,,23/08/2026,movi pra próxima semana
867,07/06/2026,RH/Gestão,Comunicar mudança de documento pro time,Feito,ALTA,Ricardo N.,2026-07-29,envolve 2 áreas — precisa alinhar
868,18/05/2026,Qualidade,Preparar apresentação sobre plano de ação,progresso,A,Sabrina T.,04/08/2026,impacto direto no OEE do turno
869,02-05-2026,PM,Definir responsável pela produção,Done,crítica,Marcos T.,01/09/2026,vinculado à pendência anterior
870,30/06/26,proc.,Reunião com fornecedor de documento,A fazer,urgente,Marcos T.,25-06-2026,movi pra próxima semana
